OrderID	OrderDate	CustomerName	PhoneNumber	DeliveryAddressLine1	DeliveryAddressLine2	CityName	StockItemID	Quantity	UnitPrice
63972	2016-01-01	Malorie Bousquet	(209) 555-0100	Suite 16	852 Ribeiro Avenue	Valley View Park	176	5	240
63973	2016-01-01	Tailspin Toys (Windsor Locks, CT)	(203) 555-0100	Unit 276	605 Prieditis Lane	Windsor Locks	74	10	285
63973	2016-01-01	Tailspin Toys (Windsor Locks, CT)	(203) 555-0100	Unit 276	605 Prieditis Lane	Windsor Locks	31	5	13
63973	2016-01-01	Tailspin Toys (Windsor Locks, CT)	(203) 555-0100	Unit 276	605 Prieditis Lane	Windsor Locks	64	6	30
63973	2016-01-01	Tailspin Toys (Windsor Locks, CT)	(203) 555-0100	Unit 276	605 Prieditis Lane	Windsor Locks	39	6	13
63973	2016-01-01	Tailspin Toys (Windsor Locks, CT)	(203) 555-0100	Unit 276	605 Prieditis Lane	Windsor Locks	189	234	2.9
63974	2016-01-01	Leyla Asef zade	(216) 555-0100	Suite 12	11 Mihajlovik Crescent	West Elkton	42	5	13
63974	2016-01-01	Leyla Asef zade	(216) 555-0100	Suite 12	11 Mihajlovik Crescent	West Elkton	166	70	42
63975	2016-01-01	Tailspin Toys (Heilwood, PA)	(215) 555-0100	Suite 25	1846 Hudecova Crescent	Heilwood	211	20	4.1
63975	2016-01-01	Tailspin Toys (Heilwood, PA)	(215) 555-0100	Suite 25	1846 Hudecova Crescent	Heilwood	65	6	30
63975	2016-01-01	Tailspin Toys (Heilwood, PA)	(215) 555-0100	Suite 25	1846 Hudecova Crescent	Heilwood	44	9	13
63975	2016-01-01	Tailspin Toys (Heilwood, PA)	(215) 555-0100	Suite 25	1846 Hudecova Crescent	Heilwood	14	8	32
63976	2016-01-01	Jackson Kolios	(209) 555-0100	Shop 21	1567 Couet Road	Rail Road Flat	186	25	2.1
63976	2016-01-01	Jackson Kolios	(209) 555-0100	Shop 21	1567 Couet Road	Rail Road Flat	168	30	29
63977	2016-01-01	Mauno Laurila	(216) 555-0100	Suite 2	1906 Shenoy Lane	North Eaton	61	4	25
63977	2016-01-01	Mauno Laurila	(216) 555-0100	Suite 2	1906 Shenoy Lane	North Eaton	147	60	18
63978	2016-01-01	Wingtip Toys (Molalla, OR)	(458) 555-0100	Suite 207	550 Alexandrova Lane	Molalla	21	4	13
63978	2016-01-01	Wingtip Toys (Molalla, OR)	(458) 555-0100	Suite 207	550 Alexandrova Lane	Molalla	164	90	112
63979	2016-01-01	Wingtip Toys (Indian Creek, IL)	(217) 555-0100	Unit 40	63 Celmina Road	Indian Creek	203	90	32
63979	2016-01-01	Wingtip Toys (Indian Creek, IL)	(217) 555-0100	Unit 40	63 Celmina Road	Indian Creek	103	2	35
63979	2016-01-01	Wingtip Toys (Indian Creek, IL)	(217) 555-0100	Unit 40	63 Celmina Road	Indian Creek	188	50	0.66
63979	2016-01-01	Wingtip Toys (Indian Creek, IL)	(217) 555-0100	Unit 40	63 Celmina Road	Indian Creek	85	108	18
63980	2016-01-01	Wingtip Toys (East Fultonham, OH)	(216) 555-0100	Shop 20	1046 Saucier Road	East Fultonham	183	100	2.74
63980	2016-01-01	Wingtip Toys (East Fultonham, OH)	(216) 555-0100	Shop 20	1046 Saucier Road	East Fultonham	139	72	5
63980	2016-01-01	Wingtip Toys (East Fultonham, OH)	(216) 555-0100	Shop 20	1046 Saucier Road	East Fultonham	145	120	18
63981	2016-01-01	Tailspin Toys (Long Meadow, MD)	(240) 555-0100	Unit 221	151 Vasiljevic Road	Long Meadow	113	10	30
63981	2016-01-01	Tailspin Toys (Long Meadow, MD)	(240) 555-0100	Unit 221	151 Vasiljevic Road	Long Meadow	16	10	13
63982	2016-01-01	Wingtip Toys (Delray, WV)	(304) 555-0100	Suite 120	1400 Kongpaisarn Street	Delray	139	36	5
63982	2016-01-01	Wingtip Toys (Delray, WV)	(304) 555-0100	Suite 120	1400 Kongpaisarn Street	Delray	49	5	13
63982	2016-01-01	Wingtip Toys (Delray, WV)	(304) 555-0100	Suite 120	1400 Kongpaisarn Street	Delray	68	10	230
63982	2016-01-01	Wingtip Toys (Delray, WV)	(304) 555-0100	Suite 120	1400 Kongpaisarn Street	Delray	143	108	18
63982	2016-01-01	Wingtip Toys (Delray, WV)	(304) 555-0100	Suite 120	1400 Kongpaisarn Street	Delray	183	100	2.74
63983	2016-01-01	Wingtip Toys (Mayhill, NM)	(505) 555-0100	Suite 11	898 Kim Boulevard	Mayhill	165	10	26
63984	2016-01-01	Tailspin Toys (South La Paloma, TX)	(210) 555-0100	Shop 2	1377 Tirlea Avenue	South La Paloma	162	80	22
63984	2016-01-01	Tailspin Toys (South La Paloma, TX)	(210) 555-0100	Shop 2	1377 Tirlea Avenue	South La Paloma	31	3	13
63984	2016-01-01	Tailspin Toys (South La Paloma, TX)	(210) 555-0100	Shop 2	1377 Tirlea Avenue	South La Paloma	144	36	18
63984	2016-01-01	Tailspin Toys (South La Paloma, TX)	(210) 555-0100	Shop 2	1377 Tirlea Avenue	South La Paloma	141	72	5
63985	2016-01-01	Gabriela Hernandes	(239) 555-0100	Suite 31	632 Sokk Lane	Cypress Quarters	66	3	45
63985	2016-01-01	Gabriela Hernandes	(239) 555-0100	Suite 31	632 Sokk Lane	Cypress Quarters	189	104	2.9
63985	2016-01-01	Gabriela Hernandes	(239) 555-0100	Suite 31	632 Sokk Lane	Cypress Quarters	51	3	13
63985	2016-01-01	Gabriela Hernandes	(239) 555-0100	Suite 31	632 Sokk Lane	Cypress Quarters	128	6	32
63986	2016-01-01	Tailspin Toys (Hodgdon, ME)	(207) 555-0100	Shop 133	967 Alizadeh Boulevard	Hodgdon	189	208	2.9
63986	2016-01-01	Tailspin Toys (Hodgdon, ME)	(207) 555-0100	Shop 133	967 Alizadeh Boulevard	Hodgdon	50	8	13
63986	2016-01-01	Tailspin Toys (Hodgdon, ME)	(207) 555-0100	Shop 133	967 Alizadeh Boulevard	Hodgdon	39	7	13
63986	2016-01-01	Tailspin Toys (Hodgdon, ME)	(207) 555-0100	Shop 133	967 Alizadeh Boulevard	Hodgdon	54	8	13
63987	2016-01-01	Suparna Bhattacharya	(314) 555-0100	Unit 30	680 Parkar Lane	Tiff City	41	6	13
63987	2016-01-01	Suparna Bhattacharya	(314) 555-0100	Unit 30	680 Parkar Lane	Tiff City	5	7	32
63988	2016-01-01	Wingtip Toys (Ruthsburg, MD)	(240) 555-0100	Unit 123	688 senturk Crescent	Ruthsburg	123	2	32
63988	2016-01-01	Wingtip Toys (Ruthsburg, MD)	(240) 555-0100	Unit 123	688 senturk Crescent	Ruthsburg	84	48	18
63988	2016-01-01	Wingtip Toys (Ruthsburg, MD)	(240) 555-0100	Unit 123	688 senturk Crescent	Ruthsburg	115	1	34
63988	2016-01-01	Wingtip Toys (Ruthsburg, MD)	(240) 555-0100	Unit 123	688 senturk Crescent	Ruthsburg	179	125	1.05
63989	2016-01-01	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	46	2	13
63989	2016-01-01	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	146	108	18
63989	2016-01-01	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	110	7	25
63990	2016-01-01	Sumati Chatterjee	(231) 555-0100	Unit 10	1643 Mitra Avenue	North Muskegon	60	5	25
63990	2016-01-01	Sumati Chatterjee	(231) 555-0100	Unit 10	1643 Mitra Avenue	North Muskegon	211	80	4.1
63990	2016-01-01	Sumati Chatterjee	(231) 555-0100	Unit 10	1643 Mitra Avenue	North Muskegon	27	2	13
63991	2016-01-01	Tailspin Toys (East Fultonham, OH)	(216) 555-0100	Unit 278	224 Hinojosa Road	East Fultonham	26	8	13
63991	2016-01-01	Tailspin Toys (East Fultonham, OH)	(216) 555-0100	Unit 278	224 Hinojosa Road	East Fultonham	20	10	13
63991	2016-01-01	Tailspin Toys (East Fultonham, OH)	(216) 555-0100	Unit 278	224 Hinojosa Road	East Fultonham	9	8	32
63992	2016-01-01	Wingtip Toys (Dickworsham, TX)	(210) 555-0100	Unit 210	811 Benjaree Road	Dickworsham	160	10	33
63992	2016-01-01	Wingtip Toys (Dickworsham, TX)	(210) 555-0100	Unit 210	811 Benjaree Road	Dickworsham	66	7	45
63992	2016-01-01	Wingtip Toys (Dickworsham, TX)	(210) 555-0100	Unit 210	811 Benjaree Road	Dickworsham	153	30	4.5
63993	2016-01-01	Jitka Necesana	(212) 555-0100	Suite 10	1511 Ilic Boulevard	Conesus Lake	6	4	32
63993	2016-01-01	Jitka Necesana	(212) 555-0100	Suite 10	1511 Ilic Boulevard	Conesus Lake	198	144	4.1
63993	2016-01-01	Jitka Necesana	(212) 555-0100	Suite 10	1511 Ilic Boulevard	Conesus Lake	88	36	18
63993	2016-01-01	Jitka Necesana	(212) 555-0100	Suite 10	1511 Ilic Boulevard	Conesus Lake	80	12	18
63993	2016-01-01	Jitka Necesana	(212) 555-0100	Suite 10	1511 Ilic Boulevard	Conesus Lake	153	80	4.5
63994	2016-01-01	Wingtip Toys (Ovilla, TX)	(210) 555-0100	Suite 158	519 Deslauriers Street	Ovilla	152	4	16
63994	2016-01-01	Wingtip Toys (Ovilla, TX)	(210) 555-0100	Suite 158	519 Deslauriers Street	Ovilla	153	70	4.5
63994	2016-01-01	Wingtip Toys (Ovilla, TX)	(210) 555-0100	Suite 158	519 Deslauriers Street	Ovilla	57	5	13
63994	2016-01-01	Wingtip Toys (Ovilla, TX)	(210) 555-0100	Suite 158	519 Deslauriers Street	Ovilla	166	50	42
63995	2016-01-01	Wingtip Toys (Montoya, NM)	(505) 555-0100	Shop 299	780 Rusl Boulevard	Montoya	90	108	18
63995	2016-01-01	Wingtip Toys (Montoya, NM)	(505) 555-0100	Shop 299	780 Rusl Boulevard	Montoya	200	192	4.1
63995	2016-01-01	Wingtip Toys (Montoya, NM)	(505) 555-0100	Shop 299	780 Rusl Boulevard	Montoya	178	50	2.55
63995	2016-01-01	Wingtip Toys (Montoya, NM)	(505) 555-0100	Shop 299	780 Rusl Boulevard	Montoya	124	9	32
63995	2016-01-01	Wingtip Toys (Montoya, NM)	(505) 555-0100	Shop 299	780 Rusl Boulevard	Montoya	147	48	18
63996	2016-01-01	Tailspin Toys (Wallagrass, ME)	(207) 555-0100	Unit 206	1898 Kasesalu Boulevard	Wallagrass	104	5	35
63996	2016-01-01	Tailspin Toys (Wallagrass, ME)	(207) 555-0100	Unit 206	1898 Kasesalu Boulevard	Wallagrass	84	24	18
63997	2016-01-01	Wingtip Toys (Cuyamungue, NM)	(505) 555-0100	Suite 51	1342 Gajula Boulevard	Cuyamungue	49	4	13
63998	2016-01-01	Tailspin Toys (Valdese, NC)	(252) 555-0100	Suite 127	199 Das Street	Valdese	131	4	32
63998	2016-01-01	Tailspin Toys (Valdese, NC)	(252) 555-0100	Suite 127	199 Das Street	Valdese	63	1	25
63998	2016-01-01	Tailspin Toys (Valdese, NC)	(252) 555-0100	Suite 127	199 Das Street	Valdese	60	5	25
63998	2016-01-01	Tailspin Toys (Valdese, NC)	(252) 555-0100	Suite 127	199 Das Street	Valdese	165	60	26
63998	2016-01-01	Tailspin Toys (Valdese, NC)	(252) 555-0100	Suite 127	199 Das Street	Valdese	139	24	5
63999	2016-01-01	Tailspin Toys (Good Hart, MI)	(231) 555-0100	Shop 80	2001 Rajanala Road	Good Hart	81	84	18
63999	2016-01-01	Tailspin Toys (Good Hart, MI)	(231) 555-0100	Shop 80	2001 Rajanala Road	Good Hart	168	20	29
63999	2016-01-01	Tailspin Toys (Good Hart, MI)	(231) 555-0100	Shop 80	2001 Rajanala Road	Good Hart	145	72	18
63999	2016-01-01	Tailspin Toys (Good Hart, MI)	(231) 555-0100	Shop 80	2001 Rajanala Road	Good Hart	206	48	2.7
64000	2016-01-01	Wingtip Toys (Dickerson, MD)	(240) 555-0100	Unit 116	1760 Gummadi Road	Dickerson	153	70	4.5
64001	2016-01-01	Tailspin Toys (Fishtail, MT)	(406) 555-0100	Unit 49	469 Patel Avenue	Fishtail	123	8	32
64001	2016-01-01	Tailspin Toys (Fishtail, MT)	(406) 555-0100	Unit 49	469 Patel Avenue	Fishtail	38	2	13
64001	2016-01-01	Tailspin Toys (Fishtail, MT)	(406) 555-0100	Unit 49	469 Patel Avenue	Fishtail	25	8	13
64001	2016-01-01	Tailspin Toys (Fishtail, MT)	(406) 555-0100	Unit 49	469 Patel Avenue	Fishtail	178	200	2.55
64002	2016-01-01	Tailspin Toys (Eastchester, NY)	(212) 555-0100	Unit 109	1568 Srisati Boulevard	Eastchester	219	100	50
64003	2016-01-01	Tailspin Toys (East Dailey, WV)	(304) 555-0100	Unit 188	838 Lucescu Street	East Dailey	75	2	345
64003	2016-01-01	Tailspin Toys (East Dailey, WV)	(304) 555-0100	Unit 188	838 Lucescu Street	East Dailey	49	7	13
64004	2016-01-01	Nicolo Cattaneo	(212) 555-0100	Unit 22	1126 Chakraborty Crescent	Schoharie	152	7	16
64004	2016-01-01	Nicolo Cattaneo	(212) 555-0100	Unit 22	1126 Chakraborty Crescent	Schoharie	157	10	30
64005	2016-01-01	Tailspin Toys (Koontzville, WA)	(206) 555-0100	Suite 144	1907 Naicker Boulevard	Koontzville	5	10	32
64005	2016-01-01	Tailspin Toys (Koontzville, WA)	(206) 555-0100	Suite 144	1907 Naicker Boulevard	Koontzville	200	168	4.1
64005	2016-01-01	Tailspin Toys (Koontzville, WA)	(206) 555-0100	Suite 144	1907 Naicker Boulevard	Koontzville	165	20	26
64005	2016-01-01	Tailspin Toys (Koontzville, WA)	(206) 555-0100	Suite 144	1907 Naicker Boulevard	Koontzville	163	70	37
64005	2016-01-01	Tailspin Toys (Koontzville, WA)	(206) 555-0100	Suite 144	1907 Naicker Boulevard	Koontzville	9	5	32
64006	2016-01-01	Wingtip Toys (Glen Ullin, ND)	(701) 555-0100	Unit 91	710 Barbosa Lane	Glen Ullin	20	1	13
64006	2016-01-01	Wingtip Toys (Glen Ullin, ND)	(701) 555-0100	Unit 91	710 Barbosa Lane	Glen Ullin	160	70	33
64007	2016-01-01	Wingtip Toys (Isabela, PR)	(787) 555-0100	Shop 110	1211 Mazumdar Avenue	Isabela	196	72	4.1
64007	2016-01-01	Wingtip Toys (Isabela, PR)	(787) 555-0100	Shop 110	1211 Mazumdar Avenue	Isabela	64	3	30
64007	2016-01-01	Wingtip Toys (Isabela, PR)	(787) 555-0100	Shop 110	1211 Mazumdar Avenue	Isabela	43	4	13
64007	2016-01-01	Wingtip Toys (Isabela, PR)	(787) 555-0100	Shop 110	1211 Mazumdar Avenue	Isabela	84	48	18
64008	2016-01-01	Emilie Hrdlickova	(803) 555-0100	Unit 27	1873 Dewangan Avenue	New Zion	199	192	3.7
64008	2016-01-01	Emilie Hrdlickova	(803) 555-0100	Unit 27	1873 Dewangan Avenue	New Zion	187	175	0.95
64008	2016-01-01	Emilie Hrdlickova	(803) 555-0100	Unit 27	1873 Dewangan Avenue	New Zion	2	2	25
64008	2016-01-01	Emilie Hrdlickova	(803) 555-0100	Unit 27	1873 Dewangan Avenue	New Zion	49	3	13
64010	2016-01-01	Wingtip Toys (Mayhill, NM)	(505) 555-0100	Suite 11	898 Kim Boulevard	Mayhill	184	100	3.5
64011	2016-01-01	Wingtip Toys (Ovilla, TX)	(210) 555-0100	Suite 158	519 Deslauriers Street	Ovilla	193	168	3.7
64012	2016-01-01	Wingtip Toys (Cuyamungue, NM)	(505) 555-0100	Suite 51	1342 Gajula Boulevard	Cuyamungue	204	70	32
64013	2016-01-01	Wingtip Toys (Dickerson, MD)	(240) 555-0100	Unit 116	1760 Gummadi Road	Dickerson	95	108	18
64014	2016-01-01	Tailspin Toys (Fishtail, MT)	(406) 555-0100	Unit 49	469 Patel Avenue	Fishtail	86	72	18
64015	2016-01-01	Tailspin Toys (Eastchester, NY)	(212) 555-0100	Unit 109	1568 Srisati Boulevard	Eastchester	77	12	18
64016	2016-01-02	Maksims Krastins	(304) 555-0100	Shop 23	292 Desai Boulevard	Lorentz	132	4	32
64016	2016-01-02	Maksims Krastins	(304) 555-0100	Shop 23	292 Desai Boulevard	Lorentz	173	60	105
64016	2016-01-02	Maksims Krastins	(304) 555-0100	Shop 23	292 Desai Boulevard	Lorentz	150	3	16
64016	2016-01-02	Maksims Krastins	(304) 555-0100	Shop 23	292 Desai Boulevard	Lorentz	22	6	13
64017	2016-01-02	Wingtip Toys (Waycross, GA)	(229) 555-0100	Suite 98	1275 Haldar Street	Waycross	11	2	3.2
64017	2016-01-02	Wingtip Toys (Waycross, GA)	(229) 555-0100	Suite 98	1275 Haldar Street	Waycross	114	2	30
64017	2016-01-02	Wingtip Toys (Waycross, GA)	(229) 555-0100	Suite 98	1275 Haldar Street	Waycross	194	72	4.1
64018	2016-01-02	Tailspin Toys (Imlaystown, NJ)	(201) 555-0100	Suite 12	1305 Kaleja Street	Imlaystown	176	6	240
64018	2016-01-02	Tailspin Toys (Imlaystown, NJ)	(201) 555-0100	Suite 12	1305 Kaleja Street	Imlaystown	40	3	13
64018	2016-01-02	Tailspin Toys (Imlaystown, NJ)	(201) 555-0100	Suite 12	1305 Kaleja Street	Imlaystown	96	108	18
64019	2016-01-02	Dipti Shah	(216) 555-0100	Unit 3	381 Hai Crescent	Scioto Furnace	198	240	4.1
64019	2016-01-02	Dipti Shah	(216) 555-0100	Unit 3	381 Hai Crescent	Scioto Furnace	179	75	1.05
64020	2016-01-02	Wingtip Toys (Harkers Island, NC)	(252) 555-0100	Shop 216	726 Matos Lane	Harkers Island	68	8	230
64020	2016-01-02	Wingtip Toys (Harkers Island, NC)	(252) 555-0100	Shop 216	726 Matos Lane	Harkers Island	103	3	35
64020	2016-01-02	Wingtip Toys (Harkers Island, NC)	(252) 555-0100	Shop 216	726 Matos Lane	Harkers Island	42	7	13
64020	2016-01-02	Wingtip Toys (Harkers Island, NC)	(252) 555-0100	Shop 216	726 Matos Lane	Harkers Island	79	120	18
64020	2016-01-02	Wingtip Toys (Harkers Island, NC)	(252) 555-0100	Shop 216	726 Matos Lane	Harkers Island	75	5	345
64021	2016-01-02	Tailspin Toys (Rockwall, TX)	(210) 555-0100	Unit 211	1492 Lanctot Crescent	Rockwall	201	96	3.7
64021	2016-01-02	Tailspin Toys (Rockwall, TX)	(210) 555-0100	Unit 211	1492 Lanctot Crescent	Rockwall	167	40	99
64021	2016-01-02	Tailspin Toys (Rockwall, TX)	(210) 555-0100	Unit 211	1492 Lanctot Crescent	Rockwall	210	35	2.4
64021	2016-01-02	Tailspin Toys (Rockwall, TX)	(210) 555-0100	Unit 211	1492 Lanctot Crescent	Rockwall	26	7	13
64021	2016-01-02	Tailspin Toys (Rockwall, TX)	(210) 555-0100	Unit 211	1492 Lanctot Crescent	Rockwall	52	5	13
64022	2016-01-02	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	116	7	34
64022	2016-01-02	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	144	60	18
64022	2016-01-02	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	202	240	4.1
64022	2016-01-02	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	183	200	2.74
64023	2016-01-02	Tailspin Toys (Sauquoit, NY)	(212) 555-0100	Shop 282	1484 Wintle Lane	Sauquoit	31	1	13
64023	2016-01-02	Tailspin Toys (Sauquoit, NY)	(212) 555-0100	Shop 282	1484 Wintle Lane	Sauquoit	95	36	18
64023	2016-01-02	Tailspin Toys (Sauquoit, NY)	(212) 555-0100	Shop 282	1484 Wintle Lane	Sauquoit	161	90	108
64023	2016-01-02	Tailspin Toys (Sauquoit, NY)	(212) 555-0100	Shop 282	1484 Wintle Lane	Sauquoit	189	26	2.9
64024	2016-01-02	Jakub Lukes	(212) 555-0100	Shop 9	1501 Tuntayakul Crescent	Eagle Valley	56	2	13
64024	2016-01-02	Jakub Lukes	(212) 555-0100	Shop 9	1501 Tuntayakul Crescent	Eagle Valley	131	6	32
64024	2016-01-02	Jakub Lukes	(212) 555-0100	Shop 9	1501 Tuntayakul Crescent	Eagle Valley	28	7	13
64024	2016-01-02	Jakub Lukes	(212) 555-0100	Shop 9	1501 Tuntayakul Crescent	Eagle Valley	6	10	32
64024	2016-01-02	Jakub Lukes	(212) 555-0100	Shop 9	1501 Tuntayakul Crescent	Eagle Valley	118	9	32
64025	2016-01-02	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	55	5	13
64025	2016-01-02	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	39	10	13
64025	2016-01-02	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	58	7	25
64025	2016-01-02	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	175	9	240
64025	2016-01-02	Tailspin Toys (Hedrick, IA)	(319) 555-0100	Shop 119	1022 Folliero Street	Hedrick	64	10	30
64026	2016-01-02	Pavel Bogdanov	(339) 555-0100	Unit 4	613 senturk Lane	New Braintree	52	7	13
64026	2016-01-02	Pavel Bogdanov	(339) 555-0100	Unit 4	613 senturk Lane	New Braintree	188	50	0.66
64026	2016-01-02	Pavel Bogdanov	(339) 555-0100	Unit 4	613 senturk Lane	New Braintree	192	36	4.1
64027	2016-01-02	Shyam Poddar	(218) 555-0100	Unit 19	130 Gallo Avenue	Tenstrike	153	60	4.5
64027	2016-01-02	Shyam Poddar	(218) 555-0100	Unit 19	130 Gallo Avenue	Tenstrike	11	2	32
64028	2016-01-02	Francisca Laureano	(319) 555-0100	Unit 9	266 Shenoy Road	Jolley	202	216	4.1
64028	2016-01-02	Francisca Laureano	(319) 555-0100	Unit 9	266 Shenoy Road	Jolley	167	40	99
64028	2016-01-02	Francisca Laureano	(319) 555-0100	Unit 9	266 Shenoy Road	Jolley	160	40	33
64028	2016-01-02	Francisca Laureano	(319) 555-0100	Unit 9	266 Shenoy Road	Jolley	93	72	18
64029	2016-01-02	Anna Gyarmathi	(252) 555-0100	Suite 15	809 Alva Boulevard	Kannapolis	20	10	13
64029	2016-01-02	Anna Gyarmathi	(252) 555-0100	Suite 15	809 Alva Boulevard	Kannapolis	170	40	102
64029	2016-01-02	Anna Gyarmathi	(252) 555-0100	Suite 15	809 Alva Boulevard	Kannapolis	61	6	25
64029	2016-01-02	Anna Gyarmathi	(252) 555-0100	Suite 15	809 Alva Boulevard	Kannapolis	106	10	35
64030	2016-01-02	Aleksandrs Riekstins	(605) 555-0100	Shop 20	498 Bagheri Lane	La Bolt	150	1	16
64030	2016-01-02	Aleksandrs Riekstins	(605) 555-0100	Shop 20	498 Bagheri Lane	La Bolt	40	6	13
64030	2016-01-02	Aleksandrs Riekstins	(605) 555-0100	Shop 20	498 Bagheri Lane	La Bolt	160	60	33
64031	2016-01-02	Nguyen Banh	(239) 555-0100	Unit 7	1885 William Boulevard	Florahome	217	20	25
64031	2016-01-02	Nguyen Banh	(239) 555-0100	Unit 7	1885 William Boulevard	Florahome	192	216	4.1
64032	2016-01-02	Tailspin Toys (Kalvesta, KS)	(316) 555-0100	Unit 246	813 Habibi Lane	Kalvesta	61	10	25
64032	2016-01-02	Tailspin Toys (Kalvesta, KS)	(316) 555-0100	Unit 246	813 Habibi Lane	Kalvesta	99	24	18
64032	2016-01-02	Tailspin Toys (Kalvesta, KS)	(316) 555-0100	Unit 246	813 Habibi Lane	Kalvesta	167	50	99
64032	2016-01-02	Tailspin Toys (Kalvesta, KS)	(316) 555-0100	Unit 246	813 Habibi Lane	Kalvesta	130	9	32
64033	2016-01-02	Wingtip Toys (Necedah, WI)	(262) 555-0100	Unit 41	1732 Diaz Road	Necedah	219	70	50
64033	2016-01-02	Wingtip Toys (Necedah, WI)	(262) 555-0100	Unit 41	1732 Diaz Road	Necedah	97	36	18
64034	2016-01-02	Kalyani Benjaree	(212) 555-0100	Shop 20	429 Viljo Lane	Bowmansville	207	84	2.7
64034	2016-01-02	Kalyani Benjaree	(212) 555-0100	Shop 20	429 Viljo Lane	Bowmansville	26	6	13
64034	2016-01-02	Kalyani Benjaree	(212) 555-0100	Shop 20	429 Viljo Lane	Bowmansville	47	10	13
64034	2016-01-02	Kalyani Benjaree	(212) 555-0100	Shop 20	429 Viljo Lane	Bowmansville	195	168	3.7
64035	2016-01-02	Lakshmi Benipal	(209) 555-0100	Suite 23	1017 Juniskyzy Boulevard	Lompoc	161	90	108
64035	2016-01-02	Lakshmi Benipal	(209) 555-0100	Suite 23	1017 Juniskyzy Boulevard	Lompoc	14	4	32
64036	2016-01-02	Wingtip Toys (Raton, NM)	(505) 555-0100	Unit 7	1652 Goransson Lane	Raton	178	175	2.55
64036	2016-01-02	Wingtip Toys (Raton, NM)	(505) 555-0100	Unit 7	1652 Goransson Lane	Raton	6	7	3.2
64036	2016-01-02	Wingtip Toys (Raton, NM)	(505) 555-0100	Unit 7	1652 Goransson Lane	Raton	61	3	25
